diodes,Count
D8322,5
D6910,20
D6902,114
D4610,17
D7701,288
D9701,151
D7005,194
D6950,133
D6900,12
D6901,5
D6905,117
D7105,31
D6990,88
D9710,5
D8174,2
D7710,74
D4600,14
D6995,2
D8184,6
D4021,3
D1501,1
D7012,76
D7050,36
D7010,87
D3095,7
D3895,9
D9425,2
D4000,2
D4260,1
D6912,3
D4700,3
D4611,2
D5802,9
D7720,18
D3302,5
D6706,1
D9410,1
D4710,2
D2920,2
D8410,69
D4750,5
D5002,1
D4450,1
D2400,2
D3890,1
D9498,1
D3309,2
D6906,2
D9600,1
D9510,1
D9511,1
D9520,1
D9521,1
D3414,2
D3400,10
D6705,1
D8100,1
D8101,1
D6690,1
D3300,9
D6959,7
D8518,2
D9700,1
D7600,1
D8185,1
D3370,6
D3301,3
D8323,1
D7301,6
D7900,5
D3328,5
D3320,2
D8301,2
D9702,1
D7702,1
D1900,2
D8400,1
D9602,3
D7903,3
D3312,5
D3308,1
D3408,1
D3409,1
D3100,2
D1005,1
D8305,3
D3354,2
D3387,1
D3349,2
D4701,1
D3413,1
D3306,1
D3310,1
D3314,1
D4601,1
D7070,1
D3452,4
D2502,4
D6903,1
D3399,2
D3398,1
D5150,4
D3326,1
D5270,1
D8450,3
D3402,1
D5410,1
