transistors,Count
Q7055,174
Q7085,176
Q8020,24
Q7100,44
Q8930,133
Q7030,383
Q7812,42
Q7707,131
Q9706,187
Q7035,166
Q7130,470
Q7560,79
Q7080,263
Q7310,64
Q3510,15
Q7900,11
Q7010,158
Q5300,76
Q7910,20
Q7260,68
Q3100,106
Q7510,75
Q6000,26
Q7706,261
Q7430,34
Q5510,28
Q5520,32
Q5530,3
Q4690,12
Q5500,39
Q6910,64
Q7630,133
Q9707,84
Q5490,37
Q7950,149
Q1920,25
Q7550,53
Q7221,78
Q7050,10
Q5480,51
Q7635,4
Q7920,7
Q7261,15
Q7911,11
Q7320,36
Q7321,19
Q6201,1
Q7220,26
Q2820,3
Q3880,32
Q8150,257
Q7180,287
Q7700,128
Q3005,5
Q8931,6
Q8030,8
Q8031,4
Q7101,1
Q7102,6
Q7103,1
Q5503,7
Q4596,2
Q3080,53
Q7520,97
Q9807,45
Q9806,32
Q5515,7
Q7135,26
Q8101,2
Q7860,25
Q7620,4
Q7155,211
Q7500,2
Q2620,3
Q7800,20
Q5701,12
Q4260,9
Q5660,22
Q7822,13
Q7945,2
Q6060,45
Q8151,3
Q5310,41
Q9010,1
Q1840,10
Q1842,5
Q4262,11
Q9425,9
Q3455,1
Q1730,1
Q8002,13
Q7801,19
Q7330,26
Q7335,10
Q3550,22
Q7921,2
Q6801,12
Q6800,11
Q6804,3
Q7840,19
Q6920,17
Q6915,25
Q7311,20
Q7830,26
Q7530,15
Q7701,50
Q7000,9
Q9581,1
Q7401,5
Q3500,1
Q2730,1
Q8510,1
Q5158,6
Q9560,7
Q7820,34
Q5040,33
Q2810,3
Q4600,2
Q7922,4
Q4261,1
Q3210,3
Q8907,1
Q6970,22
Q7060,2
Q7903,3
Q7850,1
Q5820,9
Q5840,8
Q5850,10
Q4960,1
Q5315,6
Q5501,19
Q9441,1
Q1930,2
Q7535,1
Q7803,8
Q4800,10
Q4860,6
Q7065,56
Q7931,6
Q7070,5
Q8060,10
Q8052,1
Q4801,6
Q7930,2
Q5032,2
Q5030,9
Q7842,6
Q9701,6
Q9302,1
Q7210,6
Q3205,5
Q9510,4
Q9561,2
Q4590,5
Q7870,17
Q7402,2
Q5159,4
Q7802,18
Q7515,5
Q7551,6
Q7970,3
Q3450,8
Q7291,5
Q5736,1
Q5738,1
Q5734,1
Q7650,8
Q7610,12
Q7710,2
Q3250,2
Q9607,4
Q8102,7
Q7020,15
Q7021,3
Q8710,1
Q5059,3
Q3200,58
Q8360,7
Q8361,2
Q7810,20
Q7058,5
Q7056,3
Q7400,1
Q7403,1
Q7225,3
Q3025,1
Q5830,18
Q8608,2
Q8606,1
Q7561,1
Q5810,9
Q5060,5
Q7813,1
Q5410,4
Q9709,1
Q8959,1
Q8951,3
Q8180,1
Q7872,4
Q5512,3
Q7511,2
Q7733,1
Q8050,2
Q7852,1
Q7660,40
Q3088,4
Q7680,34
Q5871,10
Q5872,2
Q5873,2
Q8950,20
Q5804,1
Q9330,2
Q7280,1
Q7940,3
Q5860,10
Q7770,3
Q7771,1
Q4700,1
Q7490,5
Q7057,1
Q5050,17
Q7110,16
Q4750,10
Q7979,5
Q8400,76
Q1780,4
Q8131,5
Q5610,1
Q8175,3
Q1850,1
Q7120,5
Q7040,44
Q3215,2
Q8000,20
Q3805,3
Q3881,1
Q6896,1
Q7670,1
Q9750,2
Q8401,18
Q4410,3
Q8012,2
Q3000,12
Q7410,2
Q3350,2
Q7655,4
Q8450,35
Q4020,1
Q7007,1
Q7180S,1
Q7005,1
Q9001,2
Q8961,7
Q6050,9
Q9102,1
Q8952,1
Q9702,4
Q8470,20
Q5502,7
Q9331,1
Q9361,1
Q7960,15
Q8090,2
Q8092,2
Q4400,7
Q7972,3
Q8159,2
Q7636,2
Q2830,2
Q9000,4
Q3360,1
Q3351,1
Q9401,4
Q9041,1
Q7001,5
Q3841,2
Q3810,1
Q3220,2
Q6955,7
Q5801,11
Q7823,2
Q9700,1
Q7906,1
Q4635,2
Q8490,2
Q8062,2
Q5803,6
Q5874,1
Q3380,1
Q2815,2
Q2800,1
Q7880,2
Q3501,8
Q7760,1
Q3440,5
Q5400,2
Q3730,2
Q3771,2
Q7901,11
Q7002,3
Q7012,1
Q7051,1
Q8560,1
Q8540,1
Q9908,1
Q4840,3
Q4830,5
Q6950,27
Q8105,1
Q7925,1
Q1420,1
Q2010,2
Q5670,7
Q5605,2
Q8072,4
Q8070,3
Q8100,5
Q1802,1
Q5675,5
Q5680,1
Q8410,1
Q5265,14
Q5230,15
Q5800,22
Q3170,2
Q7565,1
Q8201,2
Q8211,1
Q8119,1
Q7902,6
Q4530,3
Q8480,1
Q5150,2
Q2120,2
Q4301,1
Q8251,3
Q5110,1
Q5100,1
Q9900,1
Q6802,1
Q7730,3
Q9690,1
Q8110,8
Q8501,1
Q8032,2
Q8302,2
Q4500,3
Q5240,12
Q7865,1
Q8270,1
Q6940,3
Q2945,1
Q6861,2
Q1030,3
Q8440,1
Q5155,4
Q8170,1
Q8171,1
Q5450,3
Q5270,2
Q3451,3
Q3431,3
Q5216,15
Q5301,1
Q8500,3
